Anagram Sum of 10 Digits is computed. 76.9GB after general compression. 
Better compressing solution may help. Some samples provided to test your compressing.
Alternatively, if a generator is fast enough, then just generate when needed

There're 30 694 477 548 solutions. Following table shows count for each beginning of A (smaller added number):

      xxx0     xxx1     xxx2     xxx3     xxx4     xxx5     xxx6     xxx7     xxx8     xxx9
100x  4163149  4763193 12813105 11595778 11730006 11010099 10714443 10921515 11650263 11216198
101x  4135763  1477128  9252685  7928929  7719509  7716942  7626935  7881606  8164266  9308899
102x 10664969  8424594  8971713 23978548 23353141 23291247 23895908 23729147 24039391 26192622
103x  9648280  7219612 23384771  7633994 23552527 22867563 22573200 21880234 21853207 24486231
104x  9530928  6994907 22327386 22676844  8702656 24300205 22171811 21146817 22124094 25607248
105x  9607950  6618346 21489647 21406713 22831143  8135304 21855386 20763208 20980050 23394816
106x  8920246  6401602 21667738 20868958 20725388 21442027  6661815 21334298 21142895 23406656
107x  8981360  6620815 21382611 20300525 19978540 19985638 20670645  6750947 22909053 24576382
108x  9257802  6511001 21308275 20075471 19937520 20092880 19908896 21961085  7437663 26482406
109x  8729881  6675264 21461552 20501431 20921303 21403754 21085072 21985746 24536997 11838623
110x  3886090  1214920  7503004  6744471  6500247  6311224  6077181  6385111  6372050  6959518
111x   967743    28908   954941   858218   797859   715081   794930   907313   918346  1374387
112x  6986335   967464  2760319  6823701  6608642  6616202  6770032  6675070  7309624  7844637
113x  6541607   992886  6777964  2445964  6215109  6515327  6114825  6670221  6098359  7762294
114x  6176572   877043  6631076  6178155  2519833  6013365  6741295  6259702  5741274  7419008
115x  6139270   758870  6203383  6554227  6003179  2848394  6147057  6383459  6021622  7976947
116x  6111616   841081  6554400  6235665  6543695  6565460  2430452  6081647  6826015  7834926
117x  6380453   955332  6381262  6708715  6511984  6286770  6234767  2700313  6254982  8861636
118x  6615853   932724  6423354  6787323  5703082  5752776  6551953  6276211  2629615  7738455
119x  7045024  1198444  7444954  7726073  7220494  8027000  8031046  9123191  9187121  5824386
120x 10647674  7647499  7621770 21587688 21159182 19791380 20118435 20073346 20040157 21182567
121x  6982123   886867  2443554  6651962  6136862  6051345  6336919  6088977  6086557  7959354
122x  6782566  2295221   978931  6501292  6838648  6596109  6610521  6210603  6663955  8346334
123x 20414066  6459206  6382062  6783672 20401261 20184834 20532378 20497269 20220215 23204275
124x 19918198  6026192  6608319 20001838  6506395 19862382 20315838 20496115 19561668 23627100
125x 19958008  5978351  6628288 19657475 19579738  7126385 20311352 20093706 20033832 22964494
126x 20205824  6144175  6421138 20272984 20353477 20333913  7129906 19744489 20088616 24130566
127x 20086390  5998653  5909751 19589121 20493535 20059073 19998755  6489739 20123243 23497641
128x 20363054  6269732  6109999 19823664 19913284 20092993 20294415 20350336  6993099 23395033
129x 19947825  6452190  7403929 21411306 21970938 22323036 23765056 23629367 25028363 13344526
130x 10618211  7674738 21520408  7483868 21778814 20298642 20370470 19920916 19531328 20034181
131x  6371009   983227  6180319  2416092  6194800  6338307  6304324  6536754  6793814  8176954
132x 19839083  6509124  5802028  6458256 19972223 19309839 19863630 19132434 19768853 22048726
133x  6782284  2588329  6213896  1083534  6423769  6421487  6434643  7195486  6564815  8061981
134x 20348089  6145336 19502995  6333219  7190026 20560269 20684850 19738071 21036414 23733715
135x 20848736  6364857 18966772  6542022 20336535  7608996 20036691 21237820 19885609 24441866
136x 20136575  6085312 19171155  6323428 19991293 20316190  6870931 19889220 19964763 22553529
137x 20922959  6499734 18743153  7091113 19520447 20972356 20000772  7059677 20016356 23791175
138x 20104825  6323531 19117745  6721146 19706310 19687710 18970478 19978149  6261625 21622032
139x 19470113  6284365 20085140  7493234 21807502 24311178 22644399 24898113 24063005 13509758
140x 10353213  6725845 20365626 21583752  7951800 20798289 19804883 18713670 18740051 19849458
